cluster_id,main_factor
0,"Distracted,Failure_to_Yield,Running_Light_Sign"
1,
2,"Failure_to_Yield,Improper_Right_Turn"
3,Failure_to_Yield
4,"Distracted,Passing_Closely,Speeding"
5,"Distracted,Failure_to_Yield"
6,Failure_to_Yield
7,"Failure_to_Yield,Running_Light_Sign"
8,Failure_to_Yield
9,Failure_to_Yield
10,Failure_to_Yield
11,Failure_to_Yield
12,
13,"Distracted,Running_Light_Sign"
14,"Distracted,Failure_to_Yield,Running_Light_Sign,Speeding"
15,Failure_to_Yield
16,Failure_to_Yield
17,Failure_to_Yield
18,Failure_to_Yield
19,"Failure_to_Yield,Running_Light_Sign"
20,"Distracted,Running_Light_Sign,Speeding"
21,Failure_to_Yield
22,Failure_to_Yield
23,Failure_to_Yield
24,Running_Light_Sign
25,Failure_to_Yield
26,Failure_to_Yield
27,"Failure_to_Yield,Speeding"
28,Failure_to_Yield
29,"Failure_to_Yield,Running_Light_Sign"
30,Failure_to_Yield
31,Failure_to_Yield
32,Failure_to_Yield
33,"Failure_to_Yield,Running_Light_Sign"
34,"Distracted,Failure_to_Yield,Speeding"
35,"Failure_to_Yield,Improper_Right_Turn"
36,Failure_to_Yield
37,Failure_to_Yield
38,Failure_to_Yield
39,Failure_to_Yield
40,Failure_to_Yield
41,Failure_to_Yield
42,Failure_to_Yield
43,"Failure_to_Yield,Improper_Right_Turn"
44,
45,"Failure_to_Yield,Improper_Right_Turn"
46,"Distracted,Other,Passing_Closely"
47,"Running_Light_Sign,Speeding"
48,Failure_to_Yield
49,"Failure_to_Yield,Running_Light_Sign"
50,"Failure_to_Yield,Running_Light_Sign"
51,Failure_to_Yield
52,"Distracted,Failure_to_Yield"
53,Failure_to_Yield
54,"Improper_Right_Turn,Speeding"
55,Failure_to_Yield
56,"Distracted,Failure_to_Yield,Speeding"
57,"Failure_to_Yield,Speeding"
58,Failure_to_Yield
59,"Failure_to_Yield,Speeding"
60,"Failure_to_Yield,Running_Light_Sign"
61,"Failure_to_Yield,Running_Light_Sign"
62,Failure_to_Yield
63,"Failure_to_Yield,Running_Light_Sign"
64,Speeding
65,Failure_to_Yield
66,"Failure_to_Yield,Improper_Right_Turn"
67,Failure_to_Yield
68,Running_Light_Sign
69,"Passing_Closely,Speeding"
70,Failure_to_Yield
71,"Distracted,Failure_to_Yield,Jumping_the_Curb"
72,"Distracted,Wrong_Way"
73,"Failure_to_Yield,Running_Light_Sign"
74,Failure_to_Yield
75,Failure_to_Yield
76,"Distracted,Failure_to_Yield,Improper_Right_Turn"
77,
78,Running_Light_Sign
79,"Failure_to_Yield,Speeding"
80,Passing_Closely
81,Failure_to_Yield
82,Failure_to_Yield
83,"Distracted,Failure_to_Yield,Improper_Right_Turn,Speeding"
84,Failure_to_Yield
85,Speeding
86,Failure_to_Yield
87,Failure_to_Yield
88,"Improper_Right_Turn,Passing_Closely,Running_Light_Sign,Speeding"
89,"Failure_to_Yield,Speeding"
90,"Distracted,Failure_to_Yield"
91,"Distracted,Speeding"
92,Failure_to_Yield
93,Failure_to_Yield
94,"Distracted,Failure_to_Yield"
95,Passing_Closely
96,Failure_to_Yield
97,Failure_to_Yield
98,"Failure_to_Yield,Improper_Right_Turn,Speeding"
99,"Distracted,Failure_to_Yield"
100,"Failure_to_Yield,Improper_Right_Turn"
101,"Failure_to_Yield,Speeding"
102,"Distracted,Running_Light_Sign,Speeding"
103,"Distracted,Failure_to_Yield,Running_Light_Sign"
104,Failure_to_Yield
105,Running_Light_Sign
106,Failure_to_Yield
107,"Distracted,Failure_to_Yield"
108,Speeding
109,Speeding
110,Failure_to_Yield
111,Failure_to_Yield
112,Speeding
113,
114,Running_Light_Sign
115,"Failure_to_Yield,Speeding,Wrong_Way"
116,Failure_to_Yield
117,"Distracted,Speeding"
118,Failure_to_Yield
119,"Distracted,Speeding"
120,"Failure_to_Yield,Running_Light_Sign"
121,Failure_to_Yield
122,"Failure_to_Yield,Running_Light_Sign"
