cluster_id,main_factor
0,"Distracted,Failure_to_Yield,Running_Light_Sign"
1,Failure_to_Yield
2,Failure_to_Yield
3,Failure_to_Yield
4,"Failure_to_Yield,Running_Light_Sign"
5,Failure_to_Yield
6,Failure_to_Yield
7,"Failure_to_Yield,Running_Light_Sign"
8,"Distracted,Failure_to_Yield,Running_Light_Sign,Speeding"
9,Failure_to_Yield
10,Failure_to_Yield
11,Failure_to_Yield
12,"Distracted,Running_Light_Sign,Speeding"
13,Running_Light_Sign
14,"Failure_to_Yield,Speeding"
15,Failure_to_Yield
16,"Distracted,Failure_to_Yield,Improper_Right_Turn,Running_Light_Sign"
17,Failure_to_Yield
18,Failure_to_Yield
19,Failure_to_Yield
20,Failure_to_Yield
21,Failure_to_Yield
22,"Distracted,Passing_Closely"
23,Failure_to_Yield
24,"Distracted,Other,Passing_Closely"
25,Failure_to_Yield
26,Speeding
27,"Failure_to_Yield,Speeding"
28,Failure_to_Yield
29,Failure_to_Yield
30,Failure_to_Yield
31,Failure_to_Yield
32,Failure_to_Yield
33,Running_Light_Sign
34,Other
35,Running_Light_Sign
36,
37,Running_Light_Sign
38,"Failure_to_Yield,Speeding"
39,Passing_Closely
40,Failure_to_Yield
41,Failure_to_Yield
42,Speeding
43,Speeding
44,Failure_to_Yield
45,"Failure_to_Yield,Running_Light_Sign,Speeding"
46,"Distracted,Speeding"
47,Distracted
48,"Distracted,Failure_to_Yield"
49,Passing_Closely
50,Failure_to_Yield
51,"Distracted,Failure_to_Yield"
52,"Failure_to_Yield,Improper_Right_Turn"
53,"Failure_to_Yield,Speeding"
54,"Distracted,Running_Light_Sign,Speeding"
55,Running_Light_Sign
56,Failure_to_Yield
57,Speeding
58,Running_Light_Sign
59,"Failure_to_Yield,Speeding,Wrong_Way"
60,
61,Failure_to_Yield
62,"Failure_to_Yield,Speeding"
63,Speeding
64,
65,"Failure_to_Yield,Improper_Right_Turn"
66,"Failure_to_Yield,Speeding"
67,"Failure_to_Yield,Improper_Right_Turn,Running_Light_Sign"
68,"Distracted,Other"
69,"Failure_to_Yield,Improper_Right_Turn,Running_Light_Sign"
70,Speeding
71,Speeding
72,Distracted
73,"Failure_to_Yield,Improper_Right_Turn"
74,Failure_to_Yield
75,Failure_to_Yield
76,"Failure_to_Yield,Running_Light_Sign,Speeding"
77,"Distracted,Failure_to_Yield,Other"
78,"Distracted,Failure_to_Yield,Passing_Closely"
79,"Catching_Yellow_Light,Failure_to_Yield,Running_Light_Sign"
80,Failure_to_Yield
81,
82,"Distracted,Passing_Closely,Running_Light_Sign,Speeding"
83,Running_Light_Sign
84,"Failure_to_Yield,Speeding"
85,Failure_to_Yield
86,"Distracted,Failure_to_Yield"
87,"Passing_Closely,Running_Light_Sign,Speeding"
88,Failure_to_Yield
89,Distracted
90,"Other,Passing_Closely,Speeding"
91,Failure_to_Yield
92,"Failure_to_Yield,Speeding"
93,
94,Failure_to_Yield
95,
96,Failure_to_Yield
97,
98,"Running_Light_Sign,Speeding"
99,Failure_to_Yield
100,"Distracted,Failure_to_Yield,Improper_Right_Turn"
101,"Distracted,Failure_to_Yield"
102,Failure_to_Yield
103,Speeding
104,"Failure_to_Yield,Passing_Closely,Running_Light_Sign,Speeding"
105,"Failure_to_Yield,Improper_Right_Turn"
106,Passing_Closely
107,Passing_Closely
108,"Distracted,Improper_Right_Turn"
109,"Failure_to_Yield,Improper_Right_Turn"
110,Failure_to_Yield
111,Failure_to_Yield
112,
113,
114,"Failure_to_Yield,Running_Light_Sign,Speeding"
115,Distracted
116,Speeding
117,Failure_to_Yield
118,Failure_to_Yield
119,
120,Distracted
121,Speeding
122,Speeding
123,Failure_to_Yield
124,Speeding
125,"Failure_to_Yield,Improper_Right_Turn"
126,"Distracted,Failure_to_Yield,Running_Light_Sign"
127,"Distracted,Failure_to_Yield,Speeding"
128,Speeding
129,"Distracted,Failure_to_Yield,Running_Light_Sign,Speeding"
130,"Failure_to_Yield,Speeding"
131,"Failure_to_Yield,Improper_Right_Turn"
132,"Failure_to_Yield,Running_Light_Sign,Speeding"
133,Failure_to_Yield
134,"Distracted,Failure_to_Yield"
135,Running_Light_Sign
136,"Failure_to_Yield,Speeding"
137,"Failure_to_Yield,Improper_Right_Turn,Running_Light_Sign"
138,Failure_to_Yield
139,
140,Failure_to_Yield
141,"Failure_to_Yield,Improper_Right_Turn"
142,
143,Speeding
